"id","area_km"
0010000.00,804.79
0010001.00,10.10
0010002.00,1.98
0010003.01,1.62
0010003.02,1.96
0010004.00,9.19
0010005.01,0.97
0010005.02,0.99
0010006.00,1.06
0010007.00,0.54
0010008.00,2.45
0010009.00,0.55
0010010.00,0.64
0010011.00,0.50
0010012.00,1.44
0010013.00,0.91
0010014.00,1.54
0010015.01,10.08
0010015.02,1.30
0010015.03,2.90
0010015.04,3.11
0010016.01,6.44
0010016.02,19.76
0010017.00,152.09
0010100.01,10.75
0010100.03,132.02
0010100.04,31.10
0010110.00,48.23
0010170.01,2.68
0010170.02,1.56
0010171.00,3.84
0010172.02,4.87
0010172.03,0.78
0010172.04,4.95
0010172.05,1.82
0010172.06,1.15
0010200.01,32.23
0010200.02,49.83
0010200.03,92.40
0010201.00,33.87
0010202.01,20.45
0010202.02,11.47
0010202.04,5.77
0010202.05,23.82
0010300.00,8.68
0010301.01,21.93
0010301.02,11.28
0010302.00,17.21
2050000.00,5496.31
2050001.00,5.70
2050002.00,11.52
2050003.00,2.37
2050004.01,0.48
2050004.02,0.48
2050005.00,0.77
2050006.00,1.05
2050007.00,1.16
2050008.00,0.50
2050009.00,0.64
2050010.00,0.83
2050011.00,0.81
2050012.00,0.52
2050013.00,0.81
2050014.00,1.84
2050015.00,2.04
2050016.00,2.56
2050017.00,2.91
2050018.00,1.40
2050019.00,0.89
2050020.00,1.00
2050021.00,0.88
2050022.00,2.83
2050023.00,1.54
2050024.00,2.18
2050025.01,1.05
2050025.02,1.91
2050025.03,2.47
2050026.02,1.51
2050026.03,1.39
2050026.04,0.65
2050026.05,0.77
2050027.00,4.50
2050100.00,5.86
2050101.00,1.67
2050102.00,1.32
2050103.00,1.89
2050104.01,1.24
2050104.02,4.85
2050105.01,1.19
2050105.02,2.11
2050106.01,1.56
2050106.02,8.96
2050107.00,1.54
2050108.00,2.27
2050109.00,1.27
2050110.00,0.81
2050111.00,0.97
2050112.00,1.65
2050113.00,3.06
2050114.00,18.14
2050120.00,23.47
2050121.02,1.64
2050121.03,17.81
2050121.05,16.60
2050121.06,6.51
2050121.08,1.57
2050121.09,0.19
2050121.1,6.85
2050122.01,1.46
2050122.03,38.75
2050122.04,3.50
2050122.05,1.20
2050123.01,45.11
2050123.02,13.08
2050123.04,3.91
2050123.05,1.94
2050123.06,1.70
2050130.03,20.89
2050130.04,21.45
2050130.05,3.97
2050130.06,121.50
2050131.01,2.50
2050131.02,2.30
2050131.03,5.93
2050131.04,4.64
2050131.05,4.71
2050132.03,4.24
2050132.04,31.92
2050132.06,50.39
2050132.07,65.90
2050132.09,0.44
2050132.1,67.55
2050140.00,170.20
2050141.00,207.36
2050142.01,6.69
2050142.02,50.51
2050143.01,279.91
2050143.02,110.14
2050150.01,99.28
2050150.02,71.77
2050151.00,176.18
2050152.00,618.40
2050153.00,1209.07
2050154.01,0.85
2050154.03,0.51
2050154.04,1747.90
2050155.00,31.60
3050000.00,2559.05
3050001.00,3.64
3050002.00,3.41
3050003.01,25.66
3050003.03,10.40
3050003.04,7.23
3050004.00,4.75
3050005.00,3.49
3050006.00,1.63
3050007.00,1.04
3050008.00,2.32
3050009.00,1.62
3050010.01,1.94
3050010.02,7.78
3050011.00,54.69
3050012.00,12.32
3050013.00,5.13
3050014.02,16.48
3050014.03,20.21
3050014.04,12.24
3050015.01,0.55
3050015.02,283.59
3050016.01,340.38
3050016.02,252.79
3050100.00,552.92
3050101.00,14.12
3050102.01,4.15
3050102.02,17.19
3050110.00,519.59
3050120.00,149.08
3050200.00,228.72
3100000.00,3509.62
3100001.01,70.66
3100001.02,7.96
3100002.01,3.47
3100002.02,4.73
3100003.00,1.60
3100004.00,0.94
3100005.00,0.97
3100006.00,0.29
3100007.00,0.38
3100008.00,0.28
3100009.00,0.26
3100010.00,0.73
3100011.00,0.42
3100012.00,1.18
3100013.00,0.40
3100014.00,1.66
3100015.00,1.02
3100016.00,1.51
3100017.00,0.98
3100018.00,0.46
3100019.00,0.39
3100020.00,0.56
3100021.00,0.66
3100022.00,0.86
3100023.00,0.65
3100024.00,3.38
3100025.01,4.90
3100025.02,10.52
3100026.00,98.75
3100027.01,4.95
3100027.02,18.77
3100028.00,13.83
3100029.00,57.85
3100100.01,59.78
3100100.03,295.70
3100100.04,235.33
3100101.00,209.62
3100102.00,590.14
3100110.01,13.35
3100110.02,21.37
3100111.00,200.69
3100112.00,114.46
