"id","area_km"
1001,9220.61
10010165,0.38
10010166,0.10
10010167,0.13
10010168,0.19
10010169,0.07
10010170,0.15
10010171,0.13
10010172,0.08
10010173,0.25
10010174,0.24
10010175,0.27
10010176,0.23
10010180,1.76
10010181,0.19
10010182,0.10
10010187,0.25
10010191,8.74
10010192,0.13
10010193,0.28
10010194,0.94
10010195,0.65
10010196,0.28
10010198,0.10
10010199,0.12
10010200,0.16
10010201,0.15
10010202,0.11
10010203,0.13
10010204,0.19
10010206,0.40
10010207,0.36
10010208,2.22
10010209,0.21
10010210,0.28
10010211,0.23
10010212,0.18
10010213,0.19
10010214,0.09
10010215,0.13
10010216,0.11
10010217,0.13
10010218,0.10
10010219,0.38
10010220,0.25
10010221,0.18
10010222,0.33
10010223,0.19
10010224,0.09
10010225,0.05
10010226,0.14
10010227,0.06
10010228,0.11
10010229,0.08
10010230,0.07
10010231,0.11
10010232,0.08
10010233,0.12
10010234,0.10
10010235,0.08
10010236,0.10
10010237,0.34
10010238,0.21
10010239,0.11
10010240,0.21
10010241,0.14
10010242,0.18
10010243,4.59
10010244,0.60
10010245,0.12
10010246,0.15
10010247,0.16
10010248,0.15
10010249,2.45
10010250,0.59
10010251,0.14
10010252,0.19
10010253,0.29
10010254,0.45
10010255,0.19
10010256,0.25
10010257,0.23
10010258,0.26
10010259,0.16
10010260,0.19
10010261,0.20
10010262,0.13
10010263,0.18
10010264,0.16
10010265,0.17
10010266,0.28
10010267,0.28
10010268,0.19
10010269,0.35
10010270,0.47
10010271,0.55
10010272,0.26
10010273,0.86
10010276,0.09
10010277,0.16
10010278,0.06
10010279,1.00
10010280,0.04
10010281,0.04
10010282,7.66
10010283,0.54
10010284,0.19
10010285,0.29
10010286,0.23
10010290,0.08
10010294,0.24
10010295,0.06
10010296,0.06
10010297,0.13
10010298,0.19
10010299,0.10
10010300,0.05
10010301,0.36
10010302,0.08
10010303,0.04
10010304,0.09
10010305,0.11
10010306,0.32
10010307,0.22
10010308,0.06
10010309,0.32
10010310,0.29
10010334,20.45
10010337,0.27
10010338,0.19
10010339,0.25
10010340,0.16
10010341,0.18
10010342,0.16
10010343,0.08
10010344,0.24
10010345,1.31
10010346,0.11
10010348,1.47
10010356,0.39
10010357,0.84
10010457,0.26
10010458,0.11
10010459,0.22
10010460,0.27
10010461,0.12
10010482,0.55
10010484,0.57
10010485,0.16
10010486,2.22
10010488,0.15
10010489,0.09
10010490,0.41
10010491,2.05
10010492,0.17
10010493,0.67
10010494,0.12
10010495,0.13
10010496,13.28
10010497,92.31
10010498,14.47
10010499,75.03
10010500,25.70
10010501,108.77
10010502,22.22
10010503,6.73
10010504,56.85
10010505,4.21
10010506,6.16
10010507,1.05
10010508,6.61
10010509,3.82
10010510,0.50
10010511,0.38
10010512,0.85
10010513,0.82
10010514,0.37
10010515,2.25
10010516,0.57
10010517,3.59
10010518,1.04
10010519,1.43
10010520,62.39
10010521,1.55
10010522,2.65
10010523,0.52
10010524,13.97
10010525,2.19
10010526,5.62
10010527,7.22
10010528,3.02
10010529,2.43
10010530,3.18
10010531,1.89
10010532,0.76
10010533,1.47
10010534,4.88
10010535,3.60
10010536,0.91
10010537,1.13
10010538,0.78
10010539,0.97
10010540,1.82
10010541,1.23
10010542,4.57
10010543,4.14
10010544,4.90
10010545,0.55
10010546,4.14
10010547,10.63
10010548,2.08
10010549,6.04
10010550,2.73
10010551,4.80
10010552,6.77
10010553,8.29
10010554,2.84
10010555,4.69
10010556,16.88
10010557,13.03
10010558,5.77
10010559,8.77
10010560,26.23
10010561,12.84
10010562,29.98
10010563,14.94
10010564,12.11
10010565,3.97
10010566,6.13
10010567,5.97
10010568,2.78
10010569,2.18
10010570,3.03
10010571,6.11
10010572,1.22
10010573,1.32
10010574,0.58
10010575,6.04
10010576,0.56
10010577,0.47
10010578,0.62
10010579,1.01
10010580,0.86
10010581,0.37
10010582,0.88
10010583,0.46
10010584,0.97
10010585,0.50
10010586,1.02
10010587,0.47
10010588,0.90
10010589,1.28
10010590,1.47
10010591,1.06
10010592,10.37
