X,Y,DAUID,cma,pop,area_km2
-79.123754,43.977634,35180881,535,443,6.3
-79.134264,43.974809,35180882,535,636,5.89
-79.127251,43.96066,35180883,535,357,18.91
-79.2004735441955,44.0329546589621,35180931,535,689,15.62
-79.1794560723199,43.9994411906004,35180930,535,637,23.99
-79.200523,44.046486,35180932,535,515,20.61
-78.745544,43.972666,35180977,532,495,3.03
-78.752384,43.967181,35180978,532,427,4.62
-78.486237,43.940563,35180970,532,632,11.82
-78.503804,43.927912,35180969,532,425,34.09
-79.2644301928531,44.2024794488227,35180869,535,451,19.56
-79.275257,44.199433,35180870,535,513,28.09
-80.451084,43.5091,35300943,541,591,29.93
-80.259294,43.312847,35300812,541,574,7.77
-80.506641,43.535394,35300904,541,174,2.08
-80.492606,43.543039,35300747,541,694,3.97
-80.496403,43.545489,35300746,541,541,5.15
-80.5109238392891,43.5426767061686,35300906,541,183,7.55
-80.533381,43.525463,35301007,541,562,10.22
-80.676862,43.409366,35300776,541,2831,9.87
-80.579856718756,43.5168794122607,35300832,541,570,20.8
-80.6160431205331,43.5295502546731,35300754,541,915,12.78
-80.377017,43.51154,35300942,541,611,35.12
-80.392948,43.541702,35300850,541,601,12.42
-80.6055,43.424405,35300818,541,355,10.02
-80.60795,43.414875,35301023,541,630,18.43
-80.469824,43.34204,35300798,541,587,27.37
-80.632023,43.438158,35300819,541,525,10.03
-80.484494,43.575802,35300744,541,412,9.7
-80.453857,43.570627,35300745,541,709,27.06
-80.371754,43.359694,35300808,541,660,35.06
-80.431622418829,43.3041441082505,35300799,541,441,23.3
-80.295494,43.317533,35300811,541,507,15.84
-80.3392289839289,43.3343364241835,35300810,541,555,16.84
-80.342237,43.303964,35300809,541,509,15.67
-80.412257,43.478714,35300941,541,3889,22.04
-80.431579,43.103821,35290277,,,
-80.436063,43.096939,35290276,,,
-80.426823,43.088547,35290275,,,
-80.4752101124976,43.1097310089605,35290278,,,
-80.4340342491018,43.1159497422708,35290279,,,
-78.519584,43.962484,35180971,532,464,25.53
-78.504052,44.014918,35180972,532,547,37.38
-80.0343130080356,44.0751933617315,35220150,535,520,44.28
-79.816719,44.612599,35430921,568,531,12.19
-79.9229593214217,44.5441132067553,35430929,568,441,48.06
-79.870699,44.58668,35430927,568,573,1.08
-79.896312807147,44.5114028179957,35430952,568,462,51.98
-79.9101382892795,44.5810754901221,35430928,568,400,32.77
-79.8028193294573,44.5824677626495,35430923,568,723,28.39
-80.086576,44.057502,35220078,535,524,32.86
-80.1472180642844,44.051313195273,35220077,535,548,33.03
-79.868464,44.580869,35430926,568,461,0.81
-79.9887140241066,44.0287920917421,35220149,535,530,33.44
-79.865906,44.586252,35430925,568,517,0.24
-79.7790591446398,44.6089007777365,35430922,568,604,15.02
-79.7627760562488,44.5766907279464,35430968,568,470,16.49
-79.856856,44.581514,35430924,568,1016,8.38
-80.108353,44.016126,35220079,535,408,20.49
-79.815426,43.248676,35250771,537,490,0.09
-79.808324,43.247295,35250767,537,448,0.07
-79.825567,43.250382,35250707,537,423,0.06
-79.790377,43.244519,35250750,537,485,0.36
-79.804112,43.246005,35250765,537,484,0.08
-79.810724,43.247709,35250768,537,488,0.09
-79.830396,43.232845,35250356,537,621,0.29
-79.857977,43.23564,35250373,537,439,0.12
-79.721726,43.215971,35250306,537,402,0.17
-79.749327,43.220775,35250278,537,425,0.38
-79.917752,43.240873,35250967,537,506,0.46
-79.920142,43.243844,35250102,537,333,0.14
-79.573365,43.195062,35260323,537,514,0.77
-79.550134,43.192278,35260326,537,680,0.35
-79.70821,43.23333,35250313,537,719,2.21
-79.811978,43.241795,35250781,537,401,0.08
-79.793988,43.239549,35250745,537,446,0.1
-79.747521,43.231972,35250320,537,495,0.1
-79.816833,43.242869,35250782,537,428,0.09
-79.861827,43.250096,35250436,537,504,0.05
-79.879957,43.249243,35250392,537,524,0.09
-79.803839,43.236206,35250742,537,519,0.18
-79.735093,43.228412,35250283,537,637,0.27
-79.744169,43.229078,35250280,537,398,0.14
-79.826247,43.241104,35250732,537,449,0.4
-79.807456,43.238455,35250740,537,596,0.12
-79.848485,43.244417,35250445,537,414,0.31
-79.726989,43.227166,35250287,537,679,0.22
-79.787653,43.235433,35250330,537,448,0.1
-79.812992,43.248282,35250769,537,437,0.07
-79.793839,43.243688,35250748,537,411,0.1
-79.804768,43.24767,35250766,537,499,0.1
-79.774782,43.244101,35250322,537,413,0.17
-79.777352,43.241699,35250323,537,529,0.14
-79.822409,43.252761,35250708,537,686,0.32
-79.795094,43.24418,35250747,537,383,0.08
-79.818228,43.24963,35250772,537,439,0.08
-79.82002,43.250094,35250773,537,567,0.08
-79.863756,43.23181,35250550,537,468,0.12
-79.811699,43.222915,35250345,537,399,0.12
-79.904934,43.236874,35250108,537,533,0.17
-79.890432,43.236102,35250518,537,315,0.18
-79.760869,43.215992,35250256,537,628,0.26
-79.831703,43.228341,35250355,537,593,0.25
-79.820277,43.224722,35250349,537,470,0.12
-79.875377,43.234778,35250541,537,539,0.23
-79.894119,43.240079,35250516,537,808,0.81
-79.851165,43.229261,35250557,537,714,0.13
-79.547071,43.1863,35260328,537,335,0.19
-79.730289,43.211577,35250302,537,405,0.31
-79.906461,43.240682,35250107,537,498,0.23
-79.866501,43.233453,35250549,537,510,0.11
-79.762412,43.213445,35250267,537,485,0.35
-79.751297,43.229311,35250248,537,844,0.4
-79.83265,43.244884,35250729,537,415,0.08
-79.765774,43.234189,35250233,537,531,0.34
-79.797493,43.241575,35250746,537,361,0.1
-79.83691,43.244607,35250727,537,399,0.09
-79.727914,43.240755,35250316,537,669,1.96
-79.822307,43.24418,35250713,537,402,0.09
-79.825069,43.245719,35250714,537,521,0.07
-79.801055,43.24044,35250786,537,527,0.1
-79.856901,43.250562,35250455,537,631,0.06
-79.839453,43.245231,35250726,537,587,0.11
-79.855132,43.249508,35250454,537,644,0.06
-79.881328,43.236532,35250968,537,501,0.17
-79.861881,43.235747,35250374,537,484,0.17
-79.835908,43.230197,35250358,537,553,0.17
-79.538207,43.190071,35260734,537,1567,0.99
-79.764847,43.220361,35250258,537,761,0.22
-79.797604,43.228106,35250335,537,398,0.13
-79.811615,43.228783,35250342,537,532,0.12
-79.818553,43.22739,35250348,537,542,0.25
-79.777665,43.22494,35250222,537,535,0.27
-79.865203,43.235923,35250375,537,514,0.11
-79.558902,43.188694,35260324,537,669,0.41
-79.791486,43.220169,35250216,537,403,0.11
-79.882377,43.233042,35250969,537,514,0.17
-79.703624,43.209254,35250298,537,548,1.12
-79.817009,43.234353,35250790,537,546,0.1
-79.532438,43.193704,35260310,537,427,0.1
-79.84032,43.236988,35250363,537,409,0.07
-79.800771,43.23077,35250337,537,780,0.12
-79.558011,43.199093,35260316,537,503,0.49
-79.741355,43.225484,35250276,537,618,0.25
-79.872704,43.241502,35250381,537,445,0.15
-79.842783,43.238812,35250366,537,744,0.07
-79.820681,43.234665,35250791,537,420,0.28
-79.857796,43.239602,35250372,537,525,0.15
-79.537415,43.196629,35260311,537,947,0.51
-79.781262,43.227972,35250223,537,446,0.15
-79.863239,43.241343,35250378,537,459,0.11
-79.752789,43.224479,35250249,537,508,0.17
-79.870493,43.243665,35250380,537,461,0.22
-79.557363,43.194338,35260325,537,402,0.17
-79.726488,43.215858,35250304,537,551,0.22
-79.8107,43.23155,35250341,537,638,0.17
-79.582736,43.196024,35260335,537,1733,0.92
-79.757259,43.222886,35250250,537,488,0.14
-79.872301,43.238475,35250382,537,502,0.16
-79.730584,43.21821,35250305,537,556,0.24
-79.784617,43.225309,35250224,537,415,0.08
-79.591563,43.197092,35260336,537,1574,0.47
-79.910588,43.242465,35250105,537,569,0.24
-79.863828,43.238845,35250376,537,465,0.13
-79.879094,43.24023,35250384,537,468,0.18
-79.565916,43.204228,35260318,537,479,0.18
-79.874305,43.248786,35250426,537,513,0.12
-79.722216,43.226339,35250288,537,443,0.14
-79.867092,43.248133,35250440,537,616,0.08
-79.691043,43.230598,35250803,537,387,2.09
-79.790523,43.235499,35250329,537,514,0.11
-79.812083,43.238513,35250738,537,525,0.11
-79.776442,43.234557,35250230,537,507,0.34
-79.7258,43.221319,35250289,537,732,0.28
-79.880054,43.24675,35250387,537,447,0.29
-79.810399,43.236295,35250739,537,532,0.1
-79.823921,43.239247,35250733,537,599,0.1
-79.728363,43.224047,35250286,537,330,0.1
-79.713826,43.223242,35250849,537,1261,0.32
-79.567228,43.201538,35260320,537,434,0.34
-79.856391,43.242183,35250443,537,468,0.11
-79.595765,43.206584,35260338,537,1747,2.81
-79.815544,43.23789,35250737,537,450,0.1
-79.799497,43.233952,35250743,537,419,0.11
-79.909419,43.314672,35250943,537,923,1.56
-79.832879,43.318266,35240405,537,761,0.39
-79.81895,43.315749,35240413,537,480,0.19
-79.890545,43.24912,35250510,537,540,0.11
-79.816008,43.31756,35240414,537,438,0.26
-79.895281,43.329103,35250946,537,449,0.29
-79.823248,43.318284,35240412,537,438,0.22
-79.9741130080355,43.3334677809266,35250893,537,585,11.85
-79.603399,43.199641,35260337,537,319,1.72
-79.837592,43.320494,35240406,537,347,0.22
-79.819051,43.239134,35250735,537,482,0.11
-79.827007,43.320064,35240409,537,599,0.07
-79.807285,43.319186,35240807,537,928,0.25
-79.7981,43.246356,35250762,537,576,0.09
-79.803208,43.249777,35250760,537,479,0.1
-79.68122,43.230789,35250804,537,2348,0.7
-79.800302,43.246668,35250761,537,465,0.09
-79.74472,43.245289,35250318,537,115,4.59
-79.843074,43.247437,35250724,537,516,0.1
-79.8042,43.241221,35250785,537,463,0.1
-79.827805,43.246075,35250715,537,510,0.08
-79.855989,43.253337,35250456,537,591,0.09
-79.939002,43.265823,35250043,537,577,0.81
-79.960612,43.269321,35250828,537,321,0.12
-79.80702,43.243556,35250784,537,478,0.09
-79.909696,43.260019,35250672,537,345,0.18
-79.909415,43.265034,35250678,537,452,1.46
-79.859923,43.255578,35250467,537,823,0.1
-79.834174,43.250715,35250721,537,588,0.08
-79.796715,43.237273,35250744,537,673,0.29
-79.784047,43.236237,35250331,537,433,0.12
-79.816889,43.240487,35250736,537,519,0.14
-79.862193,43.248109,35250438,537,317,0.07
-79.760797,43.229716,35250241,537,277,0.11
-79.646322,43.212904,35251021,537,689,0.41
-79.896596,43.249351,35250508,537,495,0.1
-79.942711,43.237746,35250099,537,1038,1.63
-79.721464,43.208395,35250299,537,583,0.27
-79.877905,43.230967,35250542,537,476,0.23
-79.906551,43.234043,35250110,537,573,0.27
-79.833954,43.224747,35250564,537,503,0.15
-79.842735,43.235289,35250362,537,484,0.11
-79.93612,43.251162,35250965,537,379,0.12
-79.642558,43.215691,35251020,537,979,1.85
-79.851429,43.236788,35250369,537,496,0.11
-79.737887,43.220581,35250274,537,995,0.18
-79.770927,43.227475,35250261,537,471,0.16
-79.719115,43.219777,35250291,537,1080,0.21
-79.640656,43.222455,35251019,537,392,0.13
-79.810602,43.251218,35250770,537,519,0.38
-79.850197,43.246777,35250447,537,458,0.04
-79.561091,43.20396,35260317,537,430,0.15
-79.73755,43.230619,35250282,537,550,0.18
-79.832361,43.242608,35250730,537,676,0.07
-79.865715,43.248656,35250439,537,606,0.03
-79.835247,43.24335,35250728,537,508,0.07
-79.910725,43.238683,35250106,537,478,0.13
-79.825386,43.228995,35250354,537,562,0.32
-79.556298,43.203181,35260315,537,458,0.3
-79.772102,43.233045,35250231,537,724,0.3
-79.901414,43.237891,35250109,537,702,0.27
-79.703543,43.222158,35250311,537,580,0.1
-79.731109,43.242315,35250317,537,503,0.19
-79.629373,43.223276,35251024,537,1173,0.67
-79.777633,43.249069,35250753,537,443,0.45
-79.773054,43.247854,35250321,537,327,0.23
-79.925245,43.242953,35250101,537,456,0.12
-79.854886,43.236177,35250371,537,508,0.12
-79.791202,43.232191,35250332,537,564,0.15
-79.807883,43.234928,35250741,537,513,0.12
-79.767237,43.223624,35250259,537,514,0.29
-79.853058,43.239856,35250370,537,416,0.08
-79.795921,43.232097,35250333,537,609,0.21
-79.656165,43.221536,35250806,537,466,1.54
-79.819756,43.236452,35250792,537,582,0.08
-79.518158,43.191357,35260313,537,550,0.28
-79.706732,43.219481,35250309,537,357,0.07
-79.735829,43.223517,35250275,537,496,0.19
-79.824688,43.23667,35250793,537,501,0.36
-79.776754,43.229507,35250227,537,578,0.11
-79.809979,43.244414,35250780,537,460,0.08
-79.830443,43.246706,35250716,537,590,0.07
-79.848027,43.248696,35250448,537,720,0.1
-79.851342,43.249123,35250449,537,409,0.05
-79.785274,43.240684,35250326,537,373,0.1
-79.812615,43.24391,35250779,537,379,0.07
-79.821817,43.222803,35250350,537,607,0.1
-79.808146,43.222242,35250346,537,438,0.13
-79.83792,43.224859,35250562,537,505,0.17
-79.83295,43.221824,35250565,537,705,0.2
-79.898592,43.233077,35250520,537,679,0.2
-79.844375,43.233075,35250361,537,485,0.13
-79.89903,43.240687,35250515,537,401,0.24
-79.844894,43.230557,35250559,537,475,0.11
-79.871476,43.233425,35250540,537,582,0.19
-79.809737,43.217842,35250343,537,498,1.58
-79.759607,43.218655,35250257,537,571,0.09
-79.839891,43.230117,35250359,537,461,0.12
-79.711264,43.21116,35250296,537,449,0.23
-79.834286,43.233005,35250357,537,481,0.12
-79.80768,43.22593,35250344,537,503,0.18
-79.67237,43.223574,35250805,537,1224,1.9
-79.840057,43.249633,35250959,537,490,0.06
-79.839398,43.233045,35250360,537,477,0.15
-79.800641,43.243281,35250763,537,484,0.09
-79.84185,43.250532,35250958,537,470,0.07
-79.86844,43.238224,35250377,537,587,0.16
-79.784678,43.242517,35250845,537,1720,0.54
-79.80429,43.24403,35250764,537,457,0.07
-79.894503,43.233861,35250517,537,378,0.13
-79.536499,43.183439,35260832,537,868,0.25
-79.750487,43.215941,35250254,537,700,0.16
-79.854645,43.229915,35250553,537,522,0.1
-79.913938,43.235418,35250111,537,735,0.24
-79.773024,43.216838,35250263,537,871,0.6
-79.541518,43.186564,35260330,537,514,0.18
-79.741882,43.214621,35250270,537,304,0.11
-79.5025690723199,42.9789520624957,35260782,539,586,26.04
-79.707288,43.213172,35250297,537,582,0.18
-79.737986,43.217122,35250273,537,365,0.15
-79.849199,43.232273,35250556,537,522,0.13
-79.743006,43.218819,35250272,537,417,0.16
-79.851231,43.234296,35250555,537,404,0.09
-79.709746,43.221459,35250312,537,380,0.14
-79.886168,43.247996,35250388,537,539,0.11
-79.871261,43.247536,35250427,537,326,0.11
-79.821546,43.241018,35250734,537,521,0.09
