X,Y,label_rte,operator,route_code
-78.8841863051669,43.8717639649393,OSHAWA GO STATION,GO,GS01
-79.8697718756992,43.2533536312895,HAMILTON GO STATION,GO,GS02
-79.8098449858636,43.34010669117,BURLINGTON GO STATION,GO,GS03
-79.7607623600524,43.3792604609966,APPLEBY GO STATION,GO,GS04
-79.7233785347885,43.4169802615418,BRONTE GO STATION,GO,GS05
-79.682627561239,43.4556267516839,OAKVILLE GO STATION,GO,GS06
-79.6327555682473,43.5128912599575,CLARKSON GO STATION,GO,GS07
-79.5873564126641,43.5555859753397,PORT CREDIT GO STATION,GO,GS08
-79.5457672781194,43.5908537782753,LONG BRANCH GO STATION,GO,GS09
-79.496968086197,43.6168761399667,MIMICO GO STATION,GO,GS10
-79.4186509953598,43.6353307582213,EXHIBITION GO STATION,GO,GS11
-79.2545570834013,43.716891797535,SCARBOROUGH GO STATION,GO,GS14
-79.2322978930438,43.7396614931715,EGLINTON GO STATION,GO,GS15
-79.1991446541414,43.7549393105047,GUILDWOOD GO STATION,GO,GS16
-79.1307823672795,43.7806723073666,ROUGE HILL GO STATION,GO,GS17
-79.0853530877306,43.830631256771,PICKERING GO STATION,GO,GS18
-79.0414398037628,43.8477087150064,AJAX GO STATION,GO,GS19
-78.9381452201406,43.8650319797094,WHITBY GO STATION,GO,GS20
-79.8694977678383,43.5243421646248,MILTON GO STATION,GO,GS21
-79.7554977115114,43.5964827753072,MEADOWVALE GO STATION,GO,GS22
-79.7115166232016,43.5761595552151,STREETSVILLE GO STATION,GO,GS23
-79.6686860668026,43.5672987965381,ERINDALE GO STATION,GO,GS24
-79.6237070392869,43.5829944486146,COOKSVILLE GO STATION,GO,GS25
-79.5784213595494,43.607960514579,DIXIE GO STATION,GO,GS26
-79.5070147057032,43.8594827439584,MAPLE GO STATION,GO,GS28
-79.5268760151925,43.9203559894283,KING CITY GO STATION,GO,GS29
-79.4597095413532,44.000700836118,AURORA GO STATION,GO,GS30
-79.4598489028695,44.0596394714135,NEWMARKET GO STATION,GO,GS31
-79.5574738499717,44.1160410745815,BRADFORD GO STATION,GO,GS32
-79.4257360752547,43.8749979142552,RICHMOND HILL GO STATION,GO,GS33
-79.4232646843653,43.83870117895,LANGSTAFF GO STATION,GO,GS34
-79.3714343276511,43.7936731025247,OLD CUMMER GO STATION,GO,GS35
-79.3643235122353,43.7654533472611,ORIOLE GO STATION,GO,GS36
-79.2834232438754,43.7845351333617,AGINCOURT GO STATION,GO,GS37
-79.301842784047,43.8232015244887,MILLIKEN GO STATION,GO,GS38
-79.3083492006565,43.8520469499595,UNIONVILLE GO STATION,GO,GS39
-79.2621485073216,43.8826048491759,MARKHAM GO STATION,GO,GS40
-79.2499895862578,43.9708602484958,STOUFFVILLE GO STATION,GO,GS41
-79.516765542576,43.7020415437875,WESTON GO AND UP EXPRESS STATION,GO,GS43
-79.5636546843272,43.7062058802704,ETOBICOKE NORTH GO STATION,GO,GS44
-79.6387853440528,43.7046716279926,MALTON GO STATION,GO,GS45
-79.6902611463477,43.702414690217,BRAMALEA GO STATION,GO,GS46
-79.7654065825903,43.6874043027263,BRAMPTON GO STATION,GO,GS47
-79.9190229402351,43.6553661422817,GEORGETOWN GO STATION,GO,GS48
-79.8560125597362,43.313543644566,ALDERSHOT GO STATION,GO,GS50
-79.4987874866967,43.838353426511,RUTHERFORD GO STATION,GO,GS52
-79.82162390727,43.6749899171998,MOUNT PLEASANT GO STATION,GO,GS53
-79.4835708317784,43.7788486911048,YORK UNIVERSITY GO STATION,GO,GS54
-79.4561747303763,44.0781244161879,EAST GWILLIMBURY GO STATION,GO,GS55
-79.263108799179,43.9005072030647,MOUNT JOY GO STATION,GO,GS56
-79.2628116073384,43.7331307882657,KENNEDY GO STATION,GO,GS57
-79.2890584313718,43.8732848401714,CENTENNIAL GO STATION,GO,GS58
-79.6285984626995,44.3514740225625,BARRIE SOUTH GO STATION,GO,GS59
-79.2335488274512,43.9952119410847,LINCOLNVILLE GO STATION,GO,GS60
-79.7890216866162,43.5909632010829,LISGAR GO STATION,GO,GS61
-79.6887291404252,44.3743093246492,ALLANDALE WATERFRONT GO STATION,GO,GS62
-80.2469871523013,43.5445434827037,GUELPH GO STATION,GO,GS63
-80.4932980733296,43.4556171136777,KITCHENER GO STATION,GO,GS64
-79.6123785126783,43.682362669026,PEARSON UP EXPRESS STATION,GO,GS65
-79.5354526408713,43.6379856433492,KIPLING GO STATION,GO,SS01
-79.5239920473481,43.6454320153369,ISLINGTON STATION,TTC,SS02
-79.5116281256603,43.6480971430084,ROYAL YORK STATION,TTC,SS03
-79.4949690936937,43.6495497708224,OLD MILL STATION,TTC,SS04
-79.4845663904223,43.6498018898273,JANE STATION,TTC,SS05
-79.4763637079073,43.6515516194948,RUNNYMEDE STATION,TTC,SS06
-79.4671101194717,43.653826854264,HIGH PARK STATION,TTC,SS07
-79.4602372098547,43.6552544059401,KEELE STATION,TTC,SS08
-79.4526773223463,43.6572449937743,DUNDAS WEST STATION,TTC,SS09
-79.4429922975312,43.6589490784283,LANSDOWNE STATION,TTC,SS10
-79.4355708705278,43.6602067083014,DUFFERIN STATION,TTC,SS11
-79.4262150343656,43.6623208105555,OSSINGTON STATION,TTC,SS12
-79.4185428001222,43.664013602923,CHRISTIE STATION,TTC,SS13
-79.4114645885886,43.6657712701123,BATHURST STATION,TTC,SS14
-79.3905067149242,43.6701110353492,BAY STATION,TTC,SS15
-79.3867014973856,43.6701614479784,BLOOR/YONGE STATION,TTC,SS16
-79.3769124583527,43.6725439177779,SHERBOURNE STATION,TTC,SS17
-79.3683696747457,43.6738167743708,CASTLE FRANK STATION,TTC,SS18
-79.3588130619671,43.6766455515523,BROADVIEW STATION,TTC,SS19
-79.3522493877172,43.6782533870361,CHESTER STATION,TTC,SS20
